user_id,Day of the week,date,duration,activityName,startTime,endTime,averageHeartRate,elevationGain,distance,calories,steps,activeZoneMinutes,speed
PHIA_FU56955,Monday,Day 1,95.12,N/A,19:05,20:40,121,N/A,N/A,786,6943,84,N/A
PHIA_FU56955,Tuesday,Day 2,25.63,N/A,16:39,17:05,128,N/A,N/A,244,3452,30,N/A
PHIA_FU56955,Tuesday,Day 3,87.2,N/A,18:32,19:59,122,N/A,N/A,731,6634,81,N/A
PHIA_FU56955,Thursday,Day 4,123.13,N/A,16:16,18:19,116,N/A,N/A,790,7250,69,N/A
PHIA_FU56955,Thursday,Day 5,29.03,N/A,23:16,23:45,135,N/A,N/A,286,2983,40,N/A
PHIA_FU56955,Monday,Day 6,22.18,N/A,17:03,17:25,117,N/A,N/A,197,2939,21,N/A
PHIA_FU56955,Monday,Day 7,86.93,N/A,18:01,19:28,116,N/A,N/A,659,6929,64,N/A
PHIA_FU56955,Tuesday,Day 8,95.37,N/A,16:40,18:16,115,N/A,N/A,691,5640,63,N/A
PHIA_FU56955,Tuesday,Day 9,21.33,N/A,18:20,18:41,113,N/A,N/A,164,2029,13,N/A
PHIA_FU56955,Thursday,Day 10,90.83,N/A,14:12,15:43,110,N/A,N/A,633,6181,46,N/A
PHIA_FU56955,Monday,Day 11,83.3,N/A,19:53,21:16,118,N/A,N/A,650,6444,0,N/A
PHIA_FU56955,Friday,Day 12,23.92,N/A,14:40,15:04,132,N/A,N/A,231,3025,31,N/A
PHIA_FU56955,Friday,Day 13,83.18,N/A,16:02,17:25,127,N/A,N/A,726,6862,78,N/A
PHIA_FU56955,Sunday,Day 14,57.78,N/A,17:57,18:55,140,N/A,N/A,550,2999,76,N/A
PHIA_FU56955,Sunday,Day 15,24.75,N/A,20:49,21:13,137,N/A,N/A,241,2679,35,N/A
